text,top_terms,sgrank_idf,sgrank
"L'article 51 de la loi n° 2017‑1836 du 30 décembre 2017 de financement de la sécurité sociale pour 2018 a opportunément permis la création d'un dispositif d'expérimentations dérogatoires au droit commun du secteur sanitaire et médico-social, favorisant ainsi l'innovation dans le système de santé. Il se trouve que les premiers mois d'application de cette réforme laissent apparaitre une impossibilité pour les fédérations hospitalières les plus représentatives de candidater comme porteur de projet au sens des dispositions R. 162‑50‑5 et suivants du Code de la sécurité sociale. Or, de nombreux établissements adhérents à ces fédérations trouveraient un intérêt certain à ce qu'elles-mêmes puissent, pour leur compte, candidater à un projet d'expérimentation. Cela favoriserait le succès du dispositif comme son appréhension par les acteurs du système de santé. L'objet de cet amendement est donc d'offrir cette possibilité, dont les modalités sont renvoyées à un arrêté ministériel de sorte que le gouvernement puisse établir un mécanisme conforme aux aspirations de la réforme. Après l'avant-dernier alinéa du III de l'article L. 162‑31‑1 du code de la sécurité sociale, il est inséré un alinéa ainsi rédigé : « Eu égard à leur fonction d'appui et de soutien auprès de leurs adhérents, les fédérations hospitalières les plus représentatives peuvent être porteuses de projets d'expérimentation entrant dans le champ défini au I du présent article dans des conditions précisées par arrêté des ministres chargés de la sécurité sociale et de la santé. »","fédérations
expérimentation
réforme
système
projet","sécurité sociale
fédérations hospitalières
secteur sanitaire
droit commun
expérimentations dérogatoires","sécurité sociale
fédérations hospitalières
secteur sanitaire
droit commun
expérimentations dérogatoires"
"Le financement de la recherche et de l'innovation au sein des établissements publics de santé est actuellement confronté à des difficultés voire à de véritables impasses de financement. Le financement de la recherche et de l'innovation, à travers des crédits fléchés MERRI (missions d'enseignement, de recherche, de recours et d'innovation) dont les montants n'ont parfois pas évolué depuis des années, voire ont été ponctionnés par des gels devenus définitifs, ne permet plus d'atteindre son objectif de donner de la lisibilité et de la sérénité à des missions nécessitant des projections sur les moyen et long termes. Ces enveloppes, distribuées à des établissements de plus en plus nombreux, sont parfois utilisées à d'autres fins que la recherche ou l'innovation. Ainsi, l'enveloppe MERRI destinée à financer des actes de biologie et d'anatomo-pathologie finance, dans l'attente de leur intégration dans la nomenclature des actes de biologie médicale, des actes devenus courants, parfois depuis plusieurs années, ce qui génère une impasse de financement de l'ordre de près de 400 millions d'euros et freine, au lieu de le favoriser, le développement de l'innovation. Afin que ces crédits fléchés recherche et innovation ne servent pas de variable d'ajustement et qu'une clarification sur ceux-ci puisse être faite, le présent amendement propose d'en réaliser un bilan, eu égard à la transformation du système de santé engagée par le Gouvernement. Il s'agit notamment d'évaluer l'utilisation de ces crédits, d'en mesurer les impacts concrets dans l'organisation et le fonctionnement des établissements publics de santé, et d'envisager une évolution du financement des missions de recherche et d'innovation au sein du sous-objectif de dépenses relatives aux établissements de santé. Le Gouvernement remet au Parlement, avant le 31 décembre 2020, un rapport sur le financement et l'évolution du financement des missions de recherche et d'innovation au sein des établissements publics de santé.","innovation
recherche
financement
missions
crédits","établissements publics
crédits fléchés
fléchés MERRI
innovation
financement","établissements publics
innovation
financement
crédits fléchés recherche
recherche"
"Cet article prévoit que les établissements dont les résultats n'atteignent pas pendant 3 ans certains critères liés à la qualité et à la sécurité des soins, puissent se voir notifier par le directeur général de l'ARS, une pénalité. En corollaire, il ne peut être envisagé de sanctionner un établissement sans qu'il soit mis en place, également, un plan d'amélioration de la qualité, permettant à celui-ci une remise à niveau sur les critères qui n'ont pas atteint le seuil minimum attendu. Après l'alinéa 9, insérer l'alinéa suivant : « Cette pénalité s'accompagne d'un plan d'amélioration de la qualité. »","qualité
pénalité
critères
amélioration
plan","seuil minimum
directeur général
voir notifier
qualité
critères liés","seuil minimum
directeur général
qualité
article prévoit
critères"
"Pour les enfants nés à compter du 1er juillet 2014, le CLCA a été remplacé par la prestation partagée d'éducation de l'enfant (PréParE), instaurée par l'article 8 de la loi n° 2014‑873 du 4 août 2014 sur l'égalité réelle entre les femmes et les hommes. Le montant de la PréParE varie en fonction du niveau d'inactivité : 392,09 euros par mois en cas de cessation totale, 253,47 euros pour une activité réduite de plus de 50 %, 146,21 euros pour un temps partiel de 50 à 80 %. La loi du 4 août 2014 a modifié la durée de perception de la prestation : – avant son entrée en vigueur, le CLCA pouvait être perçu pendant six mois pour un premier enfant, et pendant trois ans pour deux enfants à charge ou plus ; – désormais, la PréParE peut être perçue, au sein d'un couple : o jusqu'au premier anniversaire du premier enfant, à condition que la période complémentaire de congé ainsi ouverte soit prise par le second parent ; o jusqu'au troisième anniversaire du dernier enfant pour deux enfants à charge ou plus, mais dorénavant sous réserve que 12 des 36 mois soient pris par le second parent. Concrètement, cela signifie que lorsque la mère ou le père arrive au terme des 24 premiers mois de versement, celui-ci s'interrompt sauf si l'autre parent réduit ou cesse son activité, ouvrant alors droit à la poursuite du versement pendant 12 mois. Si la création de cette prestation avait pour objectif affiché de permettre un retour à l'emploi des femmes après la naissance de leur enfant, force est de constater aujourd'hui que cet objectif n'a pas été atteint. En effet, les familles choisissent en règle générale que c'est le parent dont le salaire est le plus faible qui prendra le congé parental, de tel sorte que les revenus du couple ne soient pas trop lourdement imputé du fait de la naissance d'un enfant. La prestation Prépare ne pouvant véritablement compenser la perte de revenus lorsque celui des parents dont le salaire était le plus élevé prend son congé parental, les familles ont très largement fait le choix de ne bénéficier de la prestation que les vingt-quatre premiers mois. Les quatre ans de mise en oeuvre de cette prestation nous permettent aujourd'hui de constater que cette les dispositions de l'article 8 de la loi n° 2014‑873 du 4 août 2014 sur l'égalité réelle entre les femmes et les hommes n'ont pas permis d'atteindre l'objectif recherché, et pire encore, qu'elles ont fortement impactés le budget des familles puisque le versement de la prestation se trouve amputé de douze mois. Aussi, le présent amendement vise à revenir au système antérieur à la loi du 4 août 2014 sur l'égalité réelle entre les femmes et les hommes, à savoir celui du complément de libre choix d'activité de la prestation d'accueil du jeune enfant. I. – Le code de la sécurité sociale est ainsi modifié : 1° À la première phrase du premier alinéa de l'article L. 161‑9, les mots : « de la prestation partagée d'éducation de l'enfant prévue » sont remplacés par les mots : « du complément de libre choix d'activité de la prestation d'accueil du jeune enfant prévu » ; 2° À l'article L. 161‑9‑2, les mots : « de la prestation prévue » sont remplacés par les mots : « du complément prévu » et les mots : « ou de ladite prestation » sont remplacés par les mots : « ou dudit complément » ; 3° Le 5° de l'article L. 168‑7 est ainsi rédigé : « 5° L'allocation parentale d'éducation ou le complément de libre choix d'activité de la prestation d'accueil du jeune enfant ; » 4° L'article L. 333‑3 est ainsi modifié : a) Au début du 4°, les mots : « La prestation partagée d'éducation de l'enfant » sont remplacés par les mots : « Le complément de libre choix d'activité » et le mot : « prévue » est remplacé par le mot : « prévu » ; b) Au début du 5°, les mots : « La prestation partagée d'éducation de l'enfant » sont remplacés par les mots : « Le complément de libre choix d'activité » et le mot : « celle-ci » est remplacé par le mot : « celui‑ci » ; 5° L'article L. 381‑1 est ainsi modifié : a) Au premier alinéa, les mots : « de la prestation partagée d'éducation de l'enfant » sont remplacés par les mots : « du complément de libre choix d'activité de cette prestation » ; b) Au deuxième alinéa, les mots : « de la prestation partagée d'éducation de l'enfant » sont remplacés par les mots : « du complément de libre choix d'activité » ; 6° L'article L. 531‑1 est ainsi modifié : a) Au début du 3°, les mots : « Une prestation partagée d'éducation de l'enfant versée » sont remplacés par les mots : « Un complément de libre choix d'activité versé » ; b) À l'avant-dernier alinéa, les mots : « la prestation et le complément » : sont remplacés par les mots : « les compléments » ; c) Au dernier alinéa, les mots : « de la prestation mentionnée » sont remplacés par les mots : « du complément mentionné » et le mot : « le complément » est remplacé par les mots : « celui » ; 7° L'article L. 531‑4 est ainsi modifié : a) Le I est ainsi modifié : – au début du premier alinéa du 1, les mots : « La prestation partagée d'éducation de l'enfant est versée » sont remplacés par les mots : « Le complément de libre choix d'activité est versé » ; – au début de la première phrase du premier alinéa du 2, les mots : « La prestation est attribuée » sont remplacés par les mots : « Le complément est attribué » ; – au troisième alinéa du 2, les mots : « cette prestation à taux partiel est attribuée » sont remplacés par les mots : « ce complément à temps partiel est attribué » ; – au début de la première phrase du dernier alinéa du 2, les mots : « Cette prestation à taux partiel est attribuée » sont remplacés par les mots : « Ce complément à taux partiel est attribué » ; b) À la première phrase du II, les mots : « de la prestation partagée d'éducation de l'enfant » sont remplacés par les mots : « du complément de libre choix d'activité » et les mots : « à la prestation » sont remplacés par les mots : « au complément » ; c) Le dernier alinéa du III est ainsi modifié : – à la première phrase, les mots : « prestations partagées d'éducation de l'enfant » sont remplacés par les mots : « compléments de libre choix d'activité » ; – à la deuxième phrase, les mots : « une prestation à taux partiel peut être attribuée » sont remplacés par les mots : « un complément à taux partiel peut être attribué », le mot : « prestations » est remplacé par le mot : « compléments » et les mots : « de la prestation » sont remplacés par les mots : « du complément » ; – à la dernière phrase, le mot : « prestations » est remplacé par le mot : « compléments », les mots : « de la prestation » sont remplacés par les mots : « du complément » et les mots : « cette dernière prestation » sont remplacés par les mots : « ce dernier complément » ; d) Le IV est ainsi modifié : – au premier alinéa, les mots : « la prestation est versée » sont remplacés par les mots : « le complément est versé » ; – à la première phrase du second alinéa, les mots :« la prestation est également versée » sont remplacés par les mots : « le complément est également versé » ; e) Le VI est ainsi modifié : – à la première phrase du premier alinéa, les mots : « la prestation partagée d'éducation de l'enfant à taux plein peut être cumulée » sont remplacés par les mots : « le complément de libre choix d'activité à taux plein peut être cumulé » ; – à la première phrase du deuxième alinéa, les mots : « la prestation partagée d'éducation de l'enfant à taux plein peut être attribuée » sont remplacés par les mots : « le complément de libre choix d'activité à taux plein peut être attribué » ; – au dernier alinéa, les mots :« à la prestation partagée d'éducation de l'enfant » sont remplacés par les mots : « au complément de libre choix d'activité » ; 8° L'article L. 531‑9 est ainsi modifié : a) Au premier alinéa, les mots : « la prestation partagée d'éducation de l'enfant à taux plein mentionnée au premier alinéa du 1 du I de l'article L. 531‑4, sauf si cette dernière est versée » sont remplacés par les mots : « le complément de libre choix d'activité à taux plein mentionné au premier alinéa du 1 du I de l'article L. 531‑4, sauf si ce dernier est versé » ; b) Au second alinéa, les mots : « de la prestation partagée d'éducation de l'enfant » sont remplacés par les mots : « du complément de libre choix d'activité » ; 9° À l'article L. 531‑10, les mots : « la prestation partagée d'éducation de l'enfant » sont remplacés par les mots : « le complément de libre choix d'activité », le mot : « versées » est remplacé par le mot : « versés » et le mot : « maintenues » est remplacé par le mot : « maintenus » ; 10° L'article L. 532‑2 est ainsi modifié : a) Au début du I, du premier alinéa du II et de la première phrase du III, les mots : « La prestation partagée d'éducation de l'enfant » sont remplacés par les mots : « Le complément de libre choix d'activité » ; b) Au dernier alinéa du II, les mots : « de la prestation partagée d'éducation de l'enfant » sont remplacés par les mots : « du complément de libre choix d'activité » ; c) Au début de la seconde phrase du III, le mot : « Elle » est remplacé par le mot : « Il » ; d) Au IV, les mots : « de la prestation partagée d'éducation de l'enfant » sont remplacés par les mots : « du complément de libre choix d'activité » et les mots : « la prestation » sont remplacés par les mots : « le complément » ; e) Au V, les mots : « la prestation partagée d'éducation de l'enfant » sont remplacés par les mots : « le complément de libre choix d'activité » ; 11° Le 6° de l'article L. 544‑9 est ainsi rédigé : « 6° L'allocation parentale d'éducation ou le complément de libre choix d'activité de la prestation d'accueil du jeune enfant » ; 12° Le premier alinéa de l'article L. 552‑1 est ainsi modifié : a) À la première phrase, les mots : « de la prestation mentionnée à l'article L. 531‑1 pour l'allocation de base, le complément de libre choix du mode de garde et la prestation partagée d'éducation de l'enfant » sont remplacés par les mots : « de l'allocation de base, du complément de libre choix du mode de garde de la prestation d'accueil du jeune enfant, du complément de libre choix d'activité de la prestation d'accueil du jeune enfant » ; b) À la seconde phrase, les mots : « et de la prestation partagée d'éducation de l'enfant » sont remplacés par les mots :« de la prestation d'accueil du jeune enfant, du complément de libre choix d'activité de cette dernière prestation » ; 13° Au 1° du I de l'article L. 553‑4, les mots : « la prestation partagée d'éducation de l'enfant » sont remplacés par les mots : « le complément de libre choix d'activité de la prestation d'accueil du jeune enfant » ; 14° Au dernier alinéa de l'article L. 755‑19, les mots : « la prestation partagée d'éducation de l'enfant » sont remplacés par les mots :« le complément de libre choix d'activité de cette prestation ». II. – Au 3° de l'article L. 531‑1 du code de la sécurité sociale, les mots : « à celui des parents » sont remplacés par les mots : « au membre du couple ». III. – L'article L. 531‑4 du même code est ainsi modifié : 1° Le 3 du I est supprimé ; 2° À la fin du II, il est inséré une phrase ainsi rédigée : « Sa durée de versement est limitée à une durée maximale » ; 3° À la fin du premier alinéa du IV, sont insérés les mots : « , sous réserve des dispositions du II » ; 4° Les deux derniers alinéas du VI sont supprimés. IV. – Aux première et seconde phrases du deuxième alinéa du 2 du I de l'article L. 531‑4 du code de la sécurité sociale, les mots : « La prestation » sont remplacés par les mots : « Le complément » et le mot : « attribuée » est remplacé par le mot : « attribué ». V. – L'article L. 1225‑48 du code du travail est ainsi modifié : 1° À la seconde phrase du premier alinéa, le mot : « quatrième » est remplacé par le mot : « troisième » ; 2° Le troisième alinéa est supprimé. VI. – La perte de recettes pour l'État est compensée à due concurrence par la création d'une taxe additionnelle aux droits mentionnés aux articles 575 et 575 A du code général des impôts. VII. – La perte de recettes pour les organismes de sécurité sociale est compensée à due concurrence par la majoration des droits mentionnés aux articles 575 et 575 A du code général des impôts.","prestation
mots
complément
enfant
éducation","prestation partagée
libre choix
article L.
jeune enfant
prestation","libre choix
article L.
jeune enfant
prestation
sécurité sociale"
"Ce dispositif permet de rendre plus équitable le principe de majoration du choix du mode de garde (CMG). I. – Après l'alinéa 3, insérer les deux alinéas suivants : « a bis) Le 2° du III est ainsi rédigé : « 2° Lorsque la personne seule ou l'un des membres du couple bénéficie des prestations instituées aux articles L. 341‑1, L. 821‑1 et L. 821‑2 du présent Code ; » II. – En conséquence, substituer aux alinéas 6 et 7 les cinq alinéas suivants : « 2° L'article L. 531‑6 est ainsi modifié : « a) Le 2° est ainsi rédigé : « 2° Lorsque la personne seule ou l'un des membres du couple bénéficie des prestations instituées aux articles L. 341‑1, L. 821‑1 et L. 821‑2 du présent Code ; » « b) Après le 3°, il est inséré un 4° ainsi rédigé : « 4° Lorsque le ménage ou la personne seule bénéficie au titre d'un enfant de la prestation prévues à l'article L. 541‑1. » III. – En conséquence, après l'alinéa 8, insérer les deux alinéas suivants : « 1° A Le 2° du b est ainsi rédigé : « 2° Lorsque la personne seule ou l'un des membres du couple bénéficie des prestations instituées aux articles L. 341‑1, L. 821‑1 et L. 821‑2 ; » IV. – Compléter cet article par l'alinéa suivant : « IV.– La perte de recettes pour les organismes de sécurité sociale est compensée à due concurrence par l'augmentation du prélèvement mentionné à l'article L. 137‑19 du Code de la sécurité sociale.","L.
Lorsque
L. 341‑1
L. 821‑2
couple","L. 821‑1
articles L.
présent Code
L. 821‑2
prestations instituées","L. 821‑1
articles L.
présent Code
prestations instituées
article L."
"Jusqu'à présent, les agriculteurs employeurs de travailleurs saisonniers bénéficiaient à la fois du CICE et d'une exonération spécifique de cotisations patronales. Avec la bascule du CICE en baisse de cotisations patronales, le Gouvernement s'apprête également à supprimer l'exonération spécifique pour les travailleurs saisonniers. Cette suppression risque de renchérir le coût du travail de l'ordre de 1 € par heure. Seront pénalisés par cette mesure les agriculteurs qui comptent beaucoup de main d'œuvre, notamment les arboriculteurs et les maraîchers. Pour la seule région Occitanie, cette perte est estimée à 23 186 590 €. Cet amendement propose de revenir sur cette suppression. I. – Supprimer l'alinéa 34. II. – En conséquence, supprimer les alinéas 41 et 59.","travailleurs saisonniers
agriculteurs
saisonniers
€
Seront","travailleurs saisonniers bénéficiaient
cotisations patronales
exonération spécifique
travailleurs saisonniers
suppression risque","travailleurs saisonniers
cotisations patronales
exonération spécifique
agriculteurs employeurs
région Occitanie"
"L'objet du présent amendement est de rétablir l'exonération de cotisations patronales pour l'emploi de travailleurs occasionnels et de demandeurs d'emploi pour les entreprises relevant du 1° de l'article L 722-2 du code rural et de la pêche maritime, c'est-à-dire les entreprises réalisant des travaux agricoles en tant que prestataire extérieur. Ces dernières ne comprennent pas pourquoi l'exonération ne s'appliquerait pas aux travaux agricoles qu'ils réalisent pour le compte des exploitants agricoles. I. – Après l'alinéa 7, insérer l'alinéa suivant : « - Au deuxième alinéa, après la référence : « L. 722‑1 », sont insérés les mots : « et au 1° de l'article 722‑2 » ; ». II. – Compléter cet amendement par les deux alinéas suivants : « II. – Compléter cet article par l'alinéa suivant : « VIII. – La perte de recettes pour les organismes de sécurité sociale est compensée à due concurrence par la majoration des droits mentionnés aux articles 575 et 575 A du code général des impôts. ».","travaux
emploi
exonération
L 722
entreprises","travaux agricoles
prestataire extérieur
code général
exploitants agricoles
droits mentionnés","travaux agricoles
prestataire extérieur
code général
exploitants agricoles
due concurrence"
"La loi de financement de la sécurité sociale pour 2018 a réformé, en son article 15, la protection sociale des professions libérales affiliées à la caisse de retraite Cipav (Caisse interprofessionnelle de prévoyance et d'assurance vieillesse des professions libérales). Cet article a redéfini le périmètre d'affiliation de la Cipav fondée sur une liste limitative de 21 professions dites règlementées, contre près de 400 professions réglementées et non-réglementées avant la loi. Il met également en place un droit d'opter pour un transfert d'affiliation vers le régime général au profit des adhérents actuels de la Cipav exerçant une profession ne relevant plus du nouveau champ d'affiliation de la caisse. Ce droit d'option peut s'exercer pendant une période limitée, du 1er janvier 2019 au 31 décembre 2023. En préalable, la LFSS 2018 prévoit plusieurs dispositions réglementaires devant être prises avant le 31 décembre 2018 et indispensables à la mise en œuvre de ce droit d'option. Or, à deux mois de l'entrée en vigueur de la mesure, aucune modalité d'application n'a été prise. D'un point de vue opérationnel, la mise en œuvre du droit d'option nécessite pourtant une coordination étroite entre la Cipav, le réseau du recouvrement et le réseau de l'Assurance retraite, ainsi qu'une clarification du rôle de chaque acteur tout au long du processus de gestion des demandes de transfert. Une mobilisation des moyens matériels et humains au sein des trois réseaux doit sécuriser la réforme et garantir aux cotisants concernés une information et un conseil sur le dispositif. Dans les conditions actuelles, marquées par l'absence de dispositions réglementaires ou la perspective de dispositions prises très tardivement, la mise en œuvre de ce droit d'option avant le 1er janvier 2019 présente de nombreux risques de fragilisation, pouvant impacter les adhérents de la Cipav. En effet, à l'approche de l'entrée en vigueur du droit d'option, les adhérents ont un droit d'information générale sur le dispositif, et de conseil. Il doit être rempli par la Cipav et les autres opérateurs de la Sécurité sociale concernés par la réforme (Cnav, Sécurité sociale des indépendants). Or, en l'absence de modus operandi, la Cipav ne peut engager les actions nécessaires à la sécurisation juridique et opérationnelle de la réforme. I. – À la seconde phrase du quatrième alinéa du 8° du XVI de l'article 15 de la loi n° 2017‑1836 du 30 décembre 2017 de financement de la sécurité sociale pour 2018, l'année : « 2019 » est remplacée par l'année : « 2021 ». II. – La perte de recettes pour les organismes de sécurité sociale est compensée à due concurrence par la majoration des droits mentionnés aux articles 575 et 575 A du code général des impôts.","Cipav
option
droit
professions
adhérents","professions libérales
sécurité sociale
1er janvier
dispositions réglementaires
Cipav","professions libérales
sécurité sociale
1er janvier
dispositions réglementaires
Cipav"
"L'article 8 du PLFSS 2019 prévoit une modification des compensations apportées par la loi n°2009‑594 du 27 mai 2009 pour le développement économique des outre-mer (LODEOM). La LODEOM a instauré de nouvelles exonérations de cotisations sociales patronales applicables depuis le 1er janvier 2010. Un dispositif d'exonération de cotisations patronales de Sécurité sociale est applicable dans les DOM, à Saint-Barthélémy et à Saint-Martin, sous certaines conditions, est accordé, en fonction de leur implantation, aux employeurs qui occupent moins de onze salariés. Il concerne également les employeurs de certains secteurs d'activité, quel que soit leur effectif. Son montant varie en fonction de l'effectif des salariés et du montant de la rémunération versée L'exonération peut être renforcée quand l'entreprise remplit des conditions supplémentaires liées à la localisation dans le département, au secteur d'activité, à l'effectif ou encore aux modalités d'imposition. Les secteurs de la presse et de la production audiovisuelle font partie de ce secteur renforcé. Cependant, par cet article 8, les seuils pour bénéficier des exonérations sont recentrés sur les bas salaires. Pourtant, nous avons toujours les mêmes handicaps. Ces handicaps structurels des Régions Ultra Périphériques (RUP) sont reconnus par l'Union Européenne et l'article 349 du Traité sur le Fonctionnement de l'Union Européenne (TFUE). Nos régions doivent faire face à un certain nombre de difficultés tenant à leurs caractéristiques géographiques, que sont notamment : leur éloignement, leur insularité, leur faible superficie, un relief et un climat difficiles. Nos économies sont dépendantes d'un petit nombre de produits. Ces éléments limitent les potentialités de notre développement. Nous devons aussi faire face à la concurrence de pays n'ayant pas les mêmes structures économiques et sociales, les mêmes charges ni la même législation. Nous avons réalisé avec les acteurs économiques des premières simulations sur cette réforme qui ne favorise pas les hauts salaires. Par exemple, les simulations montrent que pour une PME dans le secteur du BTP composée de 3 ouvriers, 2 Employés, Techniciens, Agents de Maîtrise et un cadre, l'entreprise entre 2018 et 2019 devra payer 15 369 euros de cotisations supplémentaires. Comment, dans un contexte de faible croissance du secteur du BTP dans nos territoires, attendre autre chose qu'un arbitrage en défaveur des salariés, voire une contraction de la masse salariale ? Par ailleurs, nos entreprises devront aussi subir la perte de la TVA-NPR. Alors que la situation de l'emploi dans nos territoires est fragile, nous venons de connaîtr à La Réunion une baisse de l'emploi salarié de 0,4 %, le risque est réel pour une hausse du nombre de chômeurs en 2019 en Outre-mer. Nous souhaitons donc le statu-quo des seuils actuels pour une évaluation ex-ante de cette mesure avant de changer le ciblage. En effet, le dispositif actuel a porté ses fruits. L'Inspection Générale des Finances rappelait dans un rapport de juillet 2013 que l'objectif initial de la LODEOM était d'encourager l'emploi par l'abaissement du coût du travail dans les secteurs exposés à la concurrence. L'objectif de création d'emplois et/ou de maintien des effectifs a été atteint. Le CESER de La Réunion, dans un rapport commandé et présenté en septembre 2012, expliquait : « De toutes les études menées ainsi que des observations de « terrain » et de l'analyse générale réalisées, il semble raisonnable de conclure sur le fait que les mesures d'allègements ont pu avoir un impact sur l'emploi notamment des catégories à bas salaires (...) ». Enfin, il est important de noter que contrairement à ce qui est indiqué dans l'exposé des motifs, la demande de recentrage des exonérations n'est pas une demande du territoire comme nous avons pu le vérifier auprès des représentants des organisations professionnelles. I. – Substituer aux alinéas 28 et 29 les six alinéas suivants : « III. – A. – Pour les entreprises mentionnées au I de l'article 244 quater C du code général des impôts et, au titre des rémunérations définies aux quatrième et cinquième phrases du même I, pour les organismes mentionnés à l'article 207 du même code, l'exonération est calculée selon les modalités suivantes : « Le montant de l'exonération est calculé chaque mois civil, pour chaque salarié, en fonction de ses revenus d'activité tels que pris en compte pour la détermination de l'assiette des cotisations définie à l'article L. 242‑1. Lorsque la rémunération horaire est inférieure à un seuil égal au salaire minimum de croissance majoré de 30 %, le montant de l'exonération est égal au montant des cotisations de sécurité sociale à la charge de l'employeur. À partir de ce seuil, la part de la rémunération sur laquelle est calculée l'exonération décroît et devient nulle lorsque la rémunération horaire est égale au salaire minimum de croissance majoré de 100 %. « Pour les entreprises, employeurs et organismes mentionnés au premier alinéa de l'article L. 2211‑1 du code du travail et occupant moins de onze salariés, lorsque la rémunération horaire est inférieure à un seuil égal au salaire minimum de croissance majoré de 40 %, le montant de l'exonération est égal au montant des cotisations de sécurité sociale à la charge de l'employeur. Lorsque la rémunération horaire est égale ou supérieure à ce seuil et inférieure à un seuil égal au salaire minimum de croissance majoré de 60 %, la rémunération est exonérée des cotisations de sécurité sociale à la charge de l'employeur, dans la limite de la part correspondant à une rémunération horaire égale au salaire minimum de croissance majoré de 40 %. Au-delà d'un seuil égal au salaire minimum de croissance majoré de 60 %, la part de la rémunération sur laquelle est calculée l'exonération décroît et devient nulle lorsque la rémunération horaire est égale au salaire minimum de croissance majoré de 130 %. « B. – Pour les entreprises, employeurs et organismes autres que ceux mentionnés au A : « 1° Le seuil de la rémunération horaire mentionné au deuxième alinéa du A en deçà duquel la rémunération est totalement exonérée de cotisations à la charge de l'employeur est égal au salaire minimum de croissance majoré de 40 %. Le seuil de la rémunération horaire mentionné au même deuxième alinéa du A à partir de laquelle l'exonération devient nulle est égale au salaire minimum de croissance majoré de 200 % ; « 2° Le seuil de la rémunération horaire mentionné au dernier alinéa du A en deçà duquel la rémunération est exonérée, dans la limite de la part correspondant à une rémunération horaire égale au salaire minimum de croissance majoré de 40 %, est égal au salaire minimum de croissance majoré de 100 %. À partir de ce seuil, la part de la rémunération sur laquelle est calculée l'exonération décroît et devient nulle lorsque la rémunération horaire est égale au salaire minimum de croissance majoré de 200 %. » II. – Compléter cet article par l'alinéa suivant : « VIII. – La perte de recettes pour les organismes de sécurité sociale est compensée à due concurrence par la majoration des droits mentionnés aux articles 575 et 575 A du code général des impôts. »","rémunération
croissance
seuil
exonération
cotisations","croissance majoré
salaire minimum
rémunération horaire mentionné
rémunération horaire égale
article","rémunération horaire mentionné
rémunération horaire égale
article
cotisations
rémunération horaire"
"Cet amendement entend lutter contre la pratique des dépassements d'honoraires réalisés par les professionnels de santé qui aggrave le renoncement aux soins de nos concitoyens. C'est pourquoi cet amendement prévoit que la convention conclue entre l'Union nationale des caisses d'assurance maladie et les syndicats représentatifs des professionnels libéraux de santé s'engagent à négocier pour mettre fin à ces pratiques. La convention conclue entre l'Union nationale des caisses d'assurance maladie et les syndicats représentatifs des professionnels libéraux de santé prévoit, dans ses stipulations tarifaires, l'objectif de la fin des dépassements d'honoraires et l'unification des pratiques tarifaires au sein du secteur 1. Un décret fixe les modalités de mise en œuvre de cette unification.","unification
Union nationale des caisses d'assurance maladie
syndicats
dépassements
honoraires","renoncement aux soins
amendement entend lutter
convention conclue
Union nationale
assurance maladie","renoncement aux soins
Union nationale
assurance maladie
syndicats représentatifs
professionnels libéraux"
"En ne revalorisant que de 0,3 % les plafonds de ressources donnant droit aux différentes allocations, les familles sont une fois encore fortement mises à contribution. Cette mesure exclurait de fait de nombreuses familles des classes moyennes des aides indispensables dont elles bénéficient : allocations familiales non modulées, allocations de rentrée scolaire, plafond de la PAJE, etc… En ne revalorisant que de 0,3 % le montant des allocations versées, les familles seront en outre moins aidées que dans le passé. Cet pourquoi cet amendement propose la suppression de cet article. Supprimer cet article.","allocations
familles
aides indispensables
indispensables
rentrée scolaire","ressources donnant droit
revalorisant
rentrée scolaire
familles
allocations familiales","rentrée scolaire
allocations familiales
allocations
familles
aides indispensables"
"Depuis 2012, un grand nombre de mesures ont été adoptées au détriment des familles : - Baisse répétée du quotient familial - Modulation des allocations familiales - Congé parental partagé limitant la durée maximale pour 1 parent à 2 ans au lieu de 3 -Prime de naissance versée après la naissance et non avant -Promesses non tenues en termes de modes de garde - Conditions plus drastiques et baisse des montants pour l'allocation de base de la PAJE ainsi que pour le complément modes de garde. Or force est de constater que le nombre de naissances en France métropolitaine a baissé depuis 6 ans. Ainsi, selon les statistiques de l'Insee Première parues en août 2018 185.000 enfants de moins sont nés au cours de ces 6 dernières années (2012‑2018). Aussi, toutes les dispositions adoptées doivent être évaluées afin d'en mesurer la portée sur la politique familiale. Tel est l'objet de cet amendement. Dans les six mois suivant la promulgation de la loi, le Gouvernement remet un rapport au Parlement qui évalue les conséquences des mesures adoptées entre 2012 et 2018 sur la politique familiale. Ce rapport porte notamment sur le quotient familial, les allocations familiales, le congé parental, la prime de naissance, l'allocation de base de la prestation d'accueil du jeune enfant et les modes de garde.","modes
naissance
garde
allocation
allocations","Congé parental partagé limitant
allocations familiales
naissance versée
complément modes
politique familiale","allocations familiales
Congé parental
complément modes
France métropolitaine
politique familiale"
